0373F00120000000
0374A00250000000
0300S00008000000
0300M00032000000
0300M00055000000
0374A00296000000
0374A00092000000
0299F00116000000
0373F00119000000
0373B00080000000
0298P00026000000
0374A00294000000
0300M00059000000
0233L00400000000
0374C00227000000
0299L00164000000
0300M00049000000
0372E00064000000
0372N00036000000
0300M00141000000
0300M00063000000
0301D00004000000
0299K00167000000
0373F00168000000
0373F00118000000
0374A00253000000
0373N00144000000
0299D00176000000
0301D00016000000
0374A00209000000
0300M00101000000
0298S00001000000
0374A00202000000
0373A00120000000
0299H00020000000
0299F00106000000
0300M00004000000
0374A00190000000
0373F00050000000
0372E00036000000
0373B00076000000
0373F00167000000
0299F00124000000
0300A00240000000
0234H00350000000
0373N00219000000
0374A00154000000
0374A00210000000
0374A00189000000
0298K00100000000
0373F00049000000
0300A00078000000
0300S00010000000
0300A00070000000
0300A00070000000
0300A00070000000
0300A00070000000
0300A00070000000
0300A00070000000
0300A00070000000
0300A00070000000
