0545K00077000000
0545K00006000000
0545E00284000000
0545E00337000000
0546F00088000000
0546F00248000000
0546B00290000100
0546G00181000000
0546G00258000000
0546K00222000000
0545E00111000000
9867X00708000004
0546G00085000000
0546H00398000000
9867X00708000001
0546A00134000000
0546B00290002000
0546C00395000000
9867X00708000000
0546G00172000000
0545S00028000000
0545R00375000000
0546D00014000000
0545E00114000000
0546F00388000000
0545J00105000000
0545S00159000000

