0374L00144000000
0374L00056000000
0374R00258000000
0374R00203000000
0374L00322000000
0374C00202000000
0374F00013000000
0374L00287000000
0374K00009000000
0374L00310000000
0374L00067000000
0374L00112000000
0374G00246000000
0374H00058000000
0374F00015000000
0374H00156000000
0374H00128000000
0374L00043000000
0374L00175000000
0374L00204000000
0374L00044000000
0374L00191000000
0374R00201000000
0374L00051000000
0374F00014000000
0374G00298000000
0374L00192000000
0374L00078000000
0374L00054000000
