occInspec_inspection|dateReceived|GENERATEinspectionDate|amount
512|2016-11-15 00:00:00|2016-11-14 00:00:00|60
515|2016-11-15 00:00:00|2016-11-07 00:00:00|60
516|2016-11-22 00:00:00|2016-11-10 00:00:00|60
517|2016-11-15 00:00:00|2016-11-14 00:00:00|60
518|2016-12-06 00:00:00|2016-11-08 00:00:00|60
519|2016-11-22 00:00:00|2016-10-05 00:00:00|60
520|None|2016-07-07 00:00:00|60
523|2016-11-16 00:00:00|2016-11-11 00:00:00|60
536|None|2016-09-27 00:00:00|70
537|2017-03-09 00:00:00|2016-08-01 00:00:00|60
538|2016-11-28 00:00:00|2016-11-17 00:00:00|60
541|2016-11-29 00:00:00|None|60
546|2017-03-14 00:00:00|2016-11-21 00:00:00|60
548|2016-11-22 00:00:00|2016-11-04 00:00:00|60
549|2016-11-22 00:00:00|2016-11-09 00:00:00|60
552|2016-11-23 00:00:00|2016-11-22 00:00:00|60
553|2016-12-01 00:00:00|2016-11-28 00:00:00|60
554|2016-12-01 00:00:00|2016-11-28 00:00:00|60
555|2016-12-01 00:00:00|2016-11-28 00:00:00|60
556|2016-11-29 00:00:00|2016-11-28 00:00:00|60
557|2016-11-29 00:00:00|2016-11-28 00:00:00|60
558|2016-11-29 00:00:00|2016-11-28 00:00:00|60
559|2016-11-28 00:00:00|2016-11-28 00:00:00|60
560|2016-12-15 00:00:00|2016-10-20 00:00:00|60
563|2016-12-05 00:00:00|2016-11-28 00:00:00|60
564|None|2016-11-28 00:00:00|85
570|2016-12-06 00:00:00|2016-12-02 00:00:00|60
571|2016-12-06 00:00:00|2016-12-02 00:00:00|60
575|2016-12-13 00:00:00|2016-12-05 00:00:00|60
576|2016-12-06 00:00:00|2016-12-06 00:00:00|60
581|None|2016-12-08 00:00:00|60
587|2016-12-12 00:00:00|2016-12-09 00:00:00|60
613|2016-12-23 00:00:00|2016-12-21 00:00:00|60
731|2017-03-02 00:00:00|2017-02-23 00:00:00|60
614|2016-12-27 00:00:00|2016-12-13 00:00:00|60
618|2016-12-27 00:00:00|2016-12-28 00:00:00|60
619|2017-01-03 00:00:00|2016-12-27 00:00:00|60
625|None|2016-12-28 00:00:00|60
626|None|2016-12-28 00:00:00|60
629|2017-02-07 00:00:00|2017-01-18 00:00:00|60
633|2017-01-05 00:00:00|2016-01-05 00:00:00|60
634|None|2017-01-05 00:00:00|120
636|2017-01-10 00:00:00|2016-12-30 00:00:00|60
639|2017-01-10 00:00:00|2017-01-05 00:00:00|60
642|2017-02-02 00:00:00|2017-01-09 00:00:00|60
643|2017-01-13 00:00:00|2017-01-09 00:00:00|60
644|2017-01-13 00:00:00|2017-01-09 00:00:00|60
645|2017-01-13 00:00:00|2017-01-09 00:00:00|60
647|2017-01-13 00:00:00|2017-01-09 00:00:00|60
648|2017-01-13 00:00:00|2017-01-09 00:00:00|60
656|2017-01-31 00:00:00|2016-12-27 00:00:00|60
657|2017-01-19 00:00:00|2017-01-18 00:00:00|60
658|2017-01-23 00:00:00|2017-01-18 00:00:00|60
662|2017-01-19 00:00:00|2017-01-18 00:00:00|60
668|2017-01-31 00:00:00|2017-01-13 00:00:00|60
669|2017-01-26 00:00:00|2017-01-20 00:00:00|60
675|2017-02-10 00:00:00|2017-01-26 00:00:00|60
676|2017-02-10 00:00:00|2017-01-26 00:00:00|60
677|2017-02-10 00:00:00|2017-01-26 00:00:00|60
678|2017-02-10 00:00:00|2017-01-26 00:00:00|60
679|2017-02-23 00:00:00|2016-01-19 00:00:00|60
681|None|2017-01-03 00:00:00|60
682|2017-02-02 00:00:00|2017-01-30 00:00:00|60
683|2017-02-02 00:00:00|2017-01-30 00:00:00|60
684|2017-02-02 00:00:00|2017-01-30 00:00:00|60
685|2017-02-02 00:00:00|2017-01-30 00:00:00|60
686|2017-02-02 00:00:00|2017-01-30 00:00:00|60
687|2017-02-02 00:00:00|2017-01-30 00:00:00|60
688|2017-02-02 00:00:00|2017-01-30 00:00:00|60
689|None|2017-01-30 00:00:00|60
695|2017-02-28 00:00:00|2017-01-27 00:00:00|60
699|2017-03-09 00:00:00|2016-08-01 00:00:00|60
700|2017-03-09 00:00:00|2016-08-01 00:00:00|60
708|None|2017-01-31 00:00:00|60
720|2017-02-16 00:00:00|2017-02-15 00:00:00|60
721|2017-02-23 00:00:00|2017-02-16 00:00:00|60
722|2017-02-23 00:00:00|2017-02-16 00:00:00|60
732|2017-03-02 00:00:00|2017-02-23 00:00:00|60
733|2017-03-02 00:00:00|2017-02-23 00:00:00|60
734|2017-03-02 00:00:00|2017-02-23 00:00:00|60
735|2017-03-02 00:00:00|2017-02-23 00:00:00|60
736|2017-03-27 00:00:00|2017-03-15 00:00:00|60
737|2017-03-02 00:00:00|2017-02-23 00:00:00|60
738|2017-03-02 00:00:00|2017-02-23 00:00:00|60
739|2017-03-02 00:00:00|2017-02-23 00:00:00|60
740|None|2017-02-23 00:00:00|60
743|2017-02-27 00:00:00|2017-02-24 00:00:00|60
745|2017-02-27 00:00:00|2017-02-24 00:00:00|60
746|2017-03-02 00:00:00|2017-02-24 00:00:00|60
747|None|2017-02-24 00:00:00|60
748|None|2017-02-22 00:00:00|60
749|None|2017-02-22 00:00:00|60
751|2017-03-07 00:00:00|2017-02-17 00:00:00|60
752|2017-03-07 00:00:00|2017-02-21 00:00:00|60
753|2017-03-07 00:00:00|2017-02-21 00:00:00|60
754|2017-03-14 00:00:00|2017-02-23 00:00:00|60
770|2017-03-03 00:00:00|2017-01-30 00:00:00|60
771|2017-03-03 00:00:00|2017-02-04 00:00:00|60
773|2017-03-03 00:00:00|2017-01-30 00:00:00|60
774|2017-03-03 00:00:00|2017-01-30 00:00:00|60
775|2017-03-03 00:00:00|2017-01-30 00:00:00|60
782|2017-03-13 00:00:00|2017-03-06 00:00:00|85
793|2017-03-14 00:00:00|2017-03-05 00:00:00|60
794|2017-03-14 00:00:00|2017-03-09 00:00:00|60
795|None|None|85
797|2017-03-14 00:00:00|2017-03-10 00:00:00|60
798|2017-03-14 00:00:00|2017-03-10 00:00:00|60
802|2017-03-20 00:00:00|2017-03-08 00:00:00|60
811|2017-03-16 00:00:00|2017-03-06 00:00:00|60
812|2017-03-21 00:00:00|2017-03-16 00:00:00|60
813|2017-03-21 00:00:00|2017-03-15 00:00:00|60
947|2017-05-16 00:00:00|2017-05-10 00:00:00|60
948|2017-05-16 00:00:00|2017-05-08 00:00:00|60
955|None|2017-05-15 00:00:00|60
956|None|2017-05-15 00:00:00|60
957|None|2017-05-15 00:00:00|60
958|None|2017-05-15 00:00:00|60
959|None|2017-05-15 00:00:00|60
814|2017-03-21 00:00:00|2017-03-15 00:00:00|60
815|2017-03-21 00:00:00|2017-03-16 00:00:00|60
823|2017-03-27 00:00:00|2017-03-17 00:00:00|60
829|2017-03-28 00:00:00|2017-03-20 00:00:00|60
832|2017-03-23 00:00:00|2017-03-22 00:00:00|60
841|2017-03-28 00:00:00|2017-03-22 00:00:00|60
842|2017-03-28 00:00:00|2017-03-15 00:00:00|60
843|2017-03-28 00:00:00|2017-03-21 00:00:00|60
851|2017-03-30 00:00:00|2017-03-28 00:00:00|60
852|2017-03-30 00:00:00|2017-03-28 00:00:00|60
856|None|2017-03-28 00:00:00|85
858|None|2017-03-31 00:00:00|60
862|2017-04-04 00:00:00|2017-03-21 00:00:00|60
863|2017-04-11 00:00:00|2017-03-28 00:00:00|60
864|2017-04-11 00:00:00|2017-03-28 00:00:00|60
865|2017-04-11 00:00:00|2017-03-29 00:00:00|60
866|2017-04-11 00:00:00|2017-03-29 00:00:00|60
867|2017-04-11 00:00:00|2017-03-29 00:00:00|60
868|None|2017-03-31 00:00:00|60
869|2017-04-06 00:00:00|2017-04-03 00:00:00|60
875|2017-04-04 00:00:00|2017-04-03 00:00:00|65
876|2017-04-11 00:00:00|2017-03-29 00:00:00|60
877|2017-04-11 00:00:00|2017-03-29 00:00:00|60
879|2017-04-10 00:00:00|2017-04-06 00:00:00|60
880|2017-04-10 00:00:00|2017-03-21 00:00:00|60
