inspectionID|permitComments|dateIssued|temporaryPermit
309|2016-01|None|False
310|2016-01|2016-11-08 00:00:00|False
311|2016-01|None|False
312|2016-01|2016-09-14 00:00:00|False
313|2016-1035 5th-01|2016-09-15 00:00:00|False
314|2016-01|None|False
315|2016-01|None|False
317|9/14/2016|None|False
318|2016-01|None|False
319|2016-01|None|False
320|091516-01|None|False
321|2016-01|2016-09-16 00:00:00|False
322|2016-01|None|True
323|2016-01|2016-09-16 00:00:00|False
324|091616-01|2016-09-16 00:00:00|False
325|091616-02|None|False
582|2016-107-1|None|False
583|2016-1|2016-12-13 00:00:00|False
584|2016-1|2016-12-13 00:00:00|False
585|2016-01|None|False
243|None|None|False
244|None|None|False
245|2016-1|None|False
246|None|None|False
247|None|None|False
248|None|None|False
249|None|None|False
250|None|None|False
251|2016-1|None|False
252|2016-1|None|False
253|2016-1|2016-08-16 00:00:00|False
254|None|None|False
255|2016-1|None|False
256|None|None|False
257|None|None|False
258|None|None|False
259|None|None|False
260|2016-01|None|False
261|2016-?-1|None|False
262|001|None|False
263|None|None|False
264|2016-01-129|None|False
265|None|None|False
266|None|2016-08-19 00:00:00|False
267|None|2016-08-19 00:00:00|False
268|None|2016-08-19 00:00:00|False
269|None|2016-08-19 00:00:00|False
270|None|2016-08-26 00:00:00|False
271|None|None|False
272|2016-1|2016-08-24 00:00:00|False
273|None|None|False
274|2016-1|2016-08-31 00:00:00|False
283|2016-001|None|False
284|2016-a-1|None|False
285|2016-a-1|None|False
286|2016-apt1-1|2016-09-02 00:00:00|False
288|2016-1|None|False
289|2016-002|None|False
291|2016-001|None|False
293|9-7-16-1|2016-09-06 00:00:00|False
294|2016-01|2016-09-08 00:00:00|False
295|2016-01|2016-09-09 00:00:00|False
296|111111|None|False
297|2016-01|None|True
298|2016-01|None|True
299|Apt 101|2016-08-02 00:00:00|False
300|Apt 204|2016-08-02 00:00:00|False
301|Apt 302|2016-08-02 00:00:00|False
326|091616-03|2016-09-16 00:00:00|False
327|2016-2nd floor-01|None|False
328|2016-01|None|False
329|2016-1|2016-09-20 00:00:00|False
331|2016-01|2016-09-20 00:00:00|False
332|411 comm apt 25|None|False
333|2016-a-1|2016-09-20 00:00:00|False
334|2016-01|None|False
335|092016-02|2016-09-20 00:00:00|False
336|2016-1|None|False
337|2016-1|None|False
338|2016-01|None|False
340|2016-01|2016-09-22 00:00:00|False
341|2016 539 6th street|2016-09-02 00:00:00|False
342|2016 586 7th street|None|True
343|2016-102-01|2016-09-23 00:00:00|False
