parcelid
0177P00118000000
0235P00089000000
0178B00029000000
0178H00296000000
0235R00153000000
0177B00137000000
0177S00064000000
0178M00032000000
0234N00226000000
0177S00210000000
0234K00054000000
0178H00012000000
0178C00141000000
0234P00030000000
0178G00060000000
0178H00300000000
0235E00211000000
0234J00166000000
0177F00202000000
0177S00122000000
0178H00179000100
0235P00006000001
0235B00004000000
0177K00021000000
0178D00064000000
0178D00158000000
0235B00035000000
0235R00230000000
0178A00286000000
0234P00338000000
0235E00193000000
0234P00040000000
0235E00050000000
0178G00137000100
0235J00040000000
0235E00016000000
0177A00028000000
0177B00201000000
0235G00002000000
0178A00222000000
0178F00180000000
0177M00155000000
0234J00130000000
0235A00266000000
0178C00080000000
0178E00180000000
0177R00066000000
0178E00163000000
0178C00002000000
0234P00026000000
0235E00055000000
0178B00285000600
0235E00206000000
0235A00272000000
0177P00071000000
0234N00276000000
0235N00354000000
0178G00173000000
0177S00162000000
0178H00268000000
0178H00151000000
0177S00234000000
0178A00189000000
0177A00018000000
0178G00178000000
0178K00064000000
0177R00287000000
0234N00236000000
0178H00046000000
0177R00129000000
0235G00003000000
0234P00165470300
0235E00238000000
0235E00357000000
0178G00154000000
0236C00024000000
0177N00202000000
0235L00300000000
0235A00079000000
0235R00192000000
0177P00168000000
0177R00010000000
0178H00272000000
0177P00230000000
0235B00311000000
0178J00040000000
0177R00192000000
0177N00120000000
0234K00102000000
0178H00091000000
0235P00338000000
0178F00325000000
0235E00290000000
0178A00145000300
0178L00363000000
0235E00167000000
0235A00218000000
0178H00261000000
0235P00184000000
0178G00292000000
0177S00265000000
0235A00307000000
0177P00237000000
0235E00097000000
0177F00222000000
0235N00150000000
0177K00035000000
0178R00067000000
0234K00088000000
0178D00216000000
0235A00230000000
0178M00001000000
0234N00300000000
0178F00081000000
0234N00269000000
0177N00230000000
0178H00090000000
0177A00088000000
0178B00005000000
0235C00304000100
0178L00330000000
0234P00165520800
0178C00018000000
0235E00219000000
0178A00301000000
0178B00231000000
0235P00270000001
0177N00214000000
0235J00326000000
0177K00084000000
0178H00254000000
0235A00101000000
0178J00022000000
0177S00212000000
0178B00254000000
0178L00309000000
0235P00226000000
0177S00258030100
0235N00292000000
0178B00011000000
0178C00006000000
0178M00200000000
0178B00285001600
0178G00105000000
0235P00220000000
0177B00135000000
0178L00111000000
0234N00029000000
0178D00206000000
0177R00098000000
0235J00194000000
0177B00146000000
0178C00223000000
0177K00009000000
0235L00284000000
0177F00258000000
0177F00248000000
0178G00116000000
0177A00036000000
0234P00165280200
0234J00075000000
0235B00030000000
0235J00232000000
0178D00281000000
0177F00130000000
0235K00120000000
0177A00108000000
0234P00114000000
0178D00070000000
0235J00132000000
0235E00147000000
0178E00090000000
0177F00224000000
0178E00159000000
0177P00003000000
0178A00129000000
0178D00068000000
0178H00298000000
0178D00073000000
0177K00048000000
0178D00120000000
0177P00133000000
0178R00025000000
0234N00013000000
0178A00174000000
0177S00113000000
0178L00134000000
0177M00160000000
0234F00275000000
0178H00108000000
0177R00054000000
0178F00112000000
0235J00275000000
0178H00127000000
0235F00218000000
0177P00239000000
0178L00316000000
0235A00114000000
0235J00104000000
0177N00114000000
0234P00165460300
0177S00047000000
0234N00290000000
0177E00301000000
0234P00165240800
0178C00155000000
0235E00286000000
0235E00142000000
0177S00136000000
0178F00330000000
0178G00218000000
0177S00086000000
0178B00170000000
0178G00025000000
0235F00188000000
0177S00027000000
0235L00255000000
0177S00032000000
0235B00398000000
0235B00325000000
0178H00161000000
0177P00099000000
0235B00266000000
0235G00064000000
0235E00110000000
0177P00010000000
0234J00157000000
0178C00026000000
0178L00014000000
0178D00249000000
0178D00058000000
0178L00009000000
0235K00040000000
0235R00294000000
0235J00066000000
0235P00087000000
0177M00131000000
0178F00007000000
0177A00105000000
0178R00130000000
0235P00278000000
0178C00065000000
0177P00152000000
0235L00270000000
0234N00344000000
0235E00077000000
0177E00186000000
0235A00334000000
0177B00196000000
0178G00230000000
0177S00105000000
0234K00150000000
0177S00218000000
0178C00158000000
0235P00100000000
0178L00238000A00
0177S00159000000
0235J00062000000
0178K00255000000
0178D00187000000
0235E00102000000
0177F00192000000
0235J00094000000
0177P00067000000
0178A00272000000
0178H00252000000
0178G00162000000
0178R00055000000
0178D00320000000
0178L00007000000
0178C00219000000
0178L00051000000
0178G00176000000
0178L00192000000
0235B00233000000
0178E00098000000
0235J00086000000
0177F00263000000
0177R00046000000
0178L00180000000
0178M00008000000
0178K00078000000
0234K00060000000
0235B00082000000
0178F00125000000
0235E00072000000
0177R00265000000
0178D00081000000
0235P00285000000
0176N00017000000
0178F00093000000
0235C00310000000
0235E00059000000
0178D00038000000
0176S00157000002
0177L00036000000
0235R00200000000
0177R00112000000
0234K00141000000
0235F00170000000
0178D00242000000
0235L00264000000
0235N00372000000
0177S00139000000
0177E00255000000
0235B00254000000
0234N00149000000
0177S00097000000
0235A00033000000
0235P00204000000
0178L00049000100
0235P00194000000
0177A00107000000
0177K00015000000
0235J00192000000
0236B00288000000
0178E00047000000
0235G00088000000
0234P00165141200
0235A00082000000
0178H00256000000
0178F00123000000
0234P00165761100
0178F00154000000
0235J00077000000
0235A00003000000
0177B00182000000
0235A00074000000
0234K00009000000
0235J00009000000
0235J00105000000
0178B00114000000
0178G00031000000
0178G00019000000
0235A00077000000
0178E00133000000
0235R00284000000
0178B00132000000
0177F00271000000
0178F00254000000
0178D00103000000
0177R00299000000
0177P00215000000
0235B00078000000
0235R00292000000
0177S00248000000
0178G00120000000
0178G00032000000
0178L00172000000
0178E00220000000
0177E00290000000
0178M00149000000
0178B00128000000
0177P00022000000
0178H00040000000
0178L00365000000
0178L00285000000
0234K00035000000
0235R00280000000
0235J00287000000
0177P00038000000
0177S00178000000
0234N00033000000
0234N00250000000
0177R00174000000
0178B00259000000
0235P00004000000
0235R00232000000
0178L00049000200
0178F00160000000
0235A00153000000
0178A00295000000
0178G00179000000
0178G00274000000
0235G00010000000
0178A00147000100
0178H00092000000
0178H00310000000
0178D00001000000
0235F00216000000
0234P00029000100
0235P00228000000
0177R00163000000
0235L00324000000
0177P00272000000
0177S00262000000
0235A00160000000
0178A00265000000
0234P00165161200
0177A00110000000
0178C00148000000
0235E00068000000
0235B00252000000
0177R00120000000
0178D00084000000
0235F00010000000
0234N00278000000
0178D00169000000
0235B00064000000
0178A00320000000
0178G00175000000
0178G00091000000
0235E00184000000
0178G00226000000
0178A00176000000
0178D00109000000
0177P00253000000
0177M00234000000
0178B00004000000
0177A00024000000
0177S00250000000
0235E00307000000
0235E00380000000
0235P00179000000
0235J00182000000
0178M00152000000
0234J00085000000
0235J00233000000
0235J00250000000
0178M00151000000
0178G00044000000
0177S00134000000
0178C00215000000
0235E00098000000
0178H00240000100
0177E00178000000
0235P00077000000
0235A00072000000
0235N00330000000
0178E00188000000
0178C00200000000
0177R00102000000
0177E00188000000
0177L00062000000
0177P00116000000
0235J00074000000
0177N00208000000
0177R00123000A00
0234J00030000000
0178K00013000000
0235J00185000000
0178D00105000000
0235K00302000000
0178F00153000000
0177N00216000000
0177R00044000000
0177R00245000000
0234N00136000000
0178H00305000000
0177B00214000000
0177B00234000000
0178D00040000000
0178K00011000000
0235R00170000000
0235A00026000000
0177P00028000000
0234P00165191200
0177F00328000000
0235E00278000000
0177N00219000000
0234J00092000000
0235E00157000000
0178F00069000000
0178L00126000000
0178R00225000001
0178B00052000000
0235B00121000000
0234N00280000000
0235P00075000000
0178D00217000000
0177B00224000000
0177P00294000000
0178M00028000000
0176N00079000000
0235A00185000000
0177S00083000000
0178H00279000000
0235F00080000000
0177E00274000000
0178L00094000000
0235J00279000000
0235B00045000000
0234P00064000000
0235E00370000000
0177R00124000000
0177P00276000000
0178A00250000000
0234P00165121200
0235E00353000000
0178B00228000000
0236C00098000000
0178L00063000000
0178B00188000000
0177F00269000000
0178F00139000000
0177R00270000000
0178F00030000000
0177S00120000001
0235A00306000000
0178M00010000000
0178H00083000000
0234N00147000000
0234N00123000000
0234P00165190600
0234N00316000000
0235L00288000000
0235A00103000000
0234N00308000000
0177A00082000000
0177R00275000000
0177N00108000000
0234P00165260200
0178H00180000000
0178E00255000000
0177S00043000000
0234P00165120700
0177K00058000000
0234P00165220500
0177P00046000000
0177R00099000000
0235A00122000000
0177N00267000000
0178D00309000000
0178L00110000000
0178D00310000000
0177M00129000000
0178G00075000000
0177R00281000000
0177F00118000000
0178F00261000000
0177S00077000000
0178L00132000000
0235J00292000000
0178D00188000000
0178F00162000000
